index,# PhotoID, X, Y, Z, Omega, Phi, Kappa, r11, r12, r13, r21, r22, r23, r31, r32, r33,run
0,DSC00272.JPG,-51.847344278741964,-5.884651105312968,679.589007408232,4.208633061740845,-2.6314078063090105,-87.09913981299219,0.0505545167955918,-0.996196958198458,-0.0708863548773337,0.9976676963636942,0.0471090187121592,0.0495365809117007,-0.0459105866148111,-0.0732198361716584,0.9962577929246124,9
1,DSC00273.JPG,-34.45657440653597,-3.6249377969812016,681.2151249138597,0.8168823085300433,-7.946233883123673,-83.99880657075833,0.1035449960771382,-0.9946247138751668,0.0003446012714782,0.984973570052835,0.1025864658817529,0.1389979470698584,-0.1382437764570471,-0.0140466823028225,0.990297574643952,9
2,DSC00274.JPG,-17.44258848910488,-1.7739960320587511,683.7678353172557,1.8521267841514524,-7.106835382808569,-92.89546283461952,-0.0501256342248813,-0.9979978873121004,-0.0384393427249853,0.9910487682343574,-0.0544723860085535,0.1219054239201277,-0.1237198609969614,-0.0319813574962459,0.9917993619479212,9
3,DSC00275.JPG,-0.5072844459089596,0.1339218121301488,685.2879490294938,1.3457279951045036,-1.0420051668165702,-92.34515086195265,-0.0409123811890605,-0.9988678288503762,-0.0241284576418932,0.9989965657523988,-0.0413343452263963,0.0172515607261657,-0.0181854184862665,-0.0233984904431481,0.9995603277847964,9
4,DSC00276.JPG,15.196220620850653,1.714907650023539,684.3294541408152,2.571684635868539,1.803413463960546,-93.1478681337239,-0.0548859337634977,-0.9975607975278498,-0.0429913830433942,0.997998483003528,-0.0534530122424016,-0.0337880602497367,0.0314703058101084,-0.0447618324028757,0.99850384501528,9
5,DSC00403.JPG,13.812677650263167,29.259108386333484,677.2603687894865,-3.269895048860316,-0.0161086508904902,85.97676931533678,0.0702128728056517,0.9959114437436126,-0.0568732501878753,-0.9975319781368576,0.0700798331721834,-0.0042889154915183,-0.0002811489923895,0.057140626072169,0.9983718583832196,9
6,DSC00404.JPG,-15.978194726806432,30.274250500820628,675.3476078260501,-1.174156510961404,1.6085496558144818,89.38128003434073,0.0108486620327479,0.9997253347753086,-0.0207939018409356,-0.9995472365831896,0.0114268459461127,0.0278412470426292,0.0280707998775369,0.0205656433924604,0.9993970337671456,9
7,DSC00405.JPG,-44.934830243401834,31.26916046107875,675.6354060326945,-0.8535577854875086,9.118841857443742,90.28645300940016,-0.0048829820124263,0.999888441538944,-0.0141103886305739,-0.9873495873268308,-0.002577644588507,0.1585371724375986,0.158482772145817,0.0148173735985234,0.9872681371626292,9
8,DSC00406.JPG,-70.01301395662603,31.97665747945273,676.0836020754116,4.6227465782514505,10.325050650555891,87.95767349896596,0.0351077636732858,0.9966351424330946,0.0741722570971932,-0.983180456455722,0.0211492202078806,0.1814107213475058,0.1792323686202594,-0.0791966959305316,0.9806295741015262,9
9,DSC00447.JPG,-69.28003908771419,52.8380753657023,680.2729545940003,-1.7695589807719485,-1.1867550668785332,-87.88786807598676,0.0368473952608983,-0.9988189188989888,0.0317045167839881,0.9991075137384772,0.0374775272704663,0.0196391010570639,-0.0207113023325685,0.030953176533029,0.999308196518629,9
10,DSC00448.JPG,-53.44587368944498,52.83450533866463,680.0384467194916,1.8718410882310292,-2.024523294081932,-90.06174917404577,-0.0010770531109295,-0.9994644963118128,-0.0326212166179293,0.9993751945556124,-0.0022303201333463,0.0353621738979534,-0.0353272449844249,-0.0325617739215779,0.998843409266,9
11,DSC00449.JPG,-36.806942777428816,53.00893398872039,679.5641308491254,1.9106211151602357,-2.015894649102543,-91.07793500062213,-0.0188007513046035,-0.9992444331439252,-0.0339168966249041,0.9992038696960264,-0.0199740031756509,0.0345979800306441,-0.0351767403232378,-0.0332385085636394,0.998826592100316,9
12,DSC00450.JPG,-20.22921634692254,52.78633019645409,678.8685174122036,3.348376482400093,-2.994401203733077,-90.98362830549983,-0.0171432551465243,-0.998092613541648,-0.0592096103642547,0.9984873450716496,-0.0201873049656564,0.0512084284263032,-0.0522383724825632,-0.0582410047468823,0.9969329930494086,9
13,DSC00451.JPG,-3.993473340633496,52.343803787091204,677.8001618755634,-0.5263872298493351,-2.202891006369072,-90.91803954314959,-0.0160102761323372,-0.9998339106290116,0.0086499247792357,0.9991326187506092,-0.0156671194261861,0.0386246066501498,-0.0384382294270139,0.0092614862585468,0.9992187055059846,9
14,DSC00452.JPG,12.675764268326557,52.04473944537449,677.3377859072357,-0.6503432890141919,-2.655127466179234,-88.89065719118643,0.0193396517853407,-0.999737367745556,0.0123268549191745,0.9987400218362892,0.0198868444360815,0.046155877219193,-0.0463241323045748,0.0114205202886184,0.9988620970725388,9
