index, X, Y, Z, Omega, Phi, Kappa, r11, r12, r13, r21, r22, r23, r31, r32, r33
0,0.0009429560672737708,2.43651044745531e-05,7.527220457939896e-08,2.1999943047929653e-06,1.7090081170783499e-06,4.884643695492909e-07,1.479215811380107e-10,3.70796451804187e-12,6.57935383144102e-10,1.6586358007416984e-12,1.4614172212783063e-10,5.308444587180451e-10,5.19494005335316e-10,6.646031574613552e-10,5.238327602689073e-12
1,0.0009842056145209894,3.139298835035073e-05,5.9444074356118e-08,1.609178258036542e-06,2.9269765258740673e-07,5.071279922068841e-07,1.4980284886390165e-10,1.6257828120764488e-12,5.133962852918947e-10,3.428301174241908e-12,1.6944427672546668e-10,7.505963058318516e-11,8.74562817809667e-11,4.810358604381889e-10,1.481508240793337e-12
2,0.0009744571204896945,2.768062134768444e-05,2.045885964234267e-08,2.0164398047036856e-06,2.910733764781324e-07,4.977606317727597e-07,1.4883534814627756e-10,1.6290217118902706e-12,6.15395223978645e-10,1.8271143878604435e-12,1.7613363935927492e-10,1.0560385481030344e-10,8.730839801311645e-11,6.054446555329099e-10,7.509904954843395e-13
3,0.0009734779293207351,2.9529984215433316e-05,8.100472444984505e-09,1.7945125138104175e-06,5.214690280506916e-07,4.941941446739186e-07,1.5030524244798303e-10,7.60004782059667e-13,5.294634768764475e-10,2.376405490362936e-13,1.5154784744817428e-10,1.816368515986272e-10,1.587958984802816e-10,5.463627462721965e-10,1.4854430144847926e-13
4,0.0009675196550278627,2.909094203664298e-05,7.005047877610125e-08,1.8199027668881805e-06,9.633988639530418e-07,5.533618532335672e-07,1.6760322610235443e-10,2.1425042854104277e-12,5.112738710308659e-10,1.0839130660710049e-12,1.5193708330653157e-10,3.3195152393523926e-10,2.9317803329797813e-10,5.519090396139853e-10,2.2070929425822786e-12
5,0.0008990256344792259,3.2684909023594835e-05,2.741694805811723e-07,1.94362906327176e-06,4.033956313371513e-06,4.7513909197150967e-07,1.4402540673451523e-10,3.607776793001651e-12,6.256616054123655e-10,7.103674798663549e-13,1.5343527527793427e-10,1.1827643783799412e-09,1.2288132149698116e-09,5.901422640452533e-10,1.9210784450203106e-12
6,0.0009604586673938328,3.1809205168368914e-05,3.2357628906497667e-07,1.6936204090672311e-06,3.7259949022112467e-07,4.661864412180591e-07,1.4188510641908332e-10,2.5340231099635087e-13,5.16724069540636e-10,1.0097624447747018e-13,1.4333842852695514e-10,1.1417502689992654e-10,1.1341100662036921e-10,5.153007988362203e-10,2.890039557212004e-13
7,0.0009174794674005513,3.163504579332744e-05,1.1367085426126686e-07,2.403685812801723e-06,1.3643953570807991e-06,5.038039475645273e-07,1.4949160874317752e-10,1.5448623121339102e-13,7.082204261195514e-10,1.0556024485736808e-11,1.4097424533930633e-10,4.0698247210442897e-10,4.0518616500448006e-10,7.139450163085429e-10,1.031274402607666e-11
8,0.000960839389834612,2.5104455884922313e-05,2.3796357952802576e-07,2.119479551522576e-06,2.0925542633264277e-06,4.7651399952163907e-07,1.408047085456765e-10,3.9829995089686355e-12,5.833247124989401e-10,2.015287318618068e-11,1.3003592303636126e-10,6.158576766623898e-10,6.169652290888215e-10,6.158464820062549e-10,2.951986930097953e-11
9,0.0010069457438764428,3.191753552881881e-05,4.968794862282166e-07,1.0328523239339125e-06,1.9981047853088526e-06,4.922850222945385e-07,1.49864214022583e-10,5.415465312646591e-13,3.320083102065518e-10,2.920537192187975e-13,1.4372603554455543e-10,5.971760323449676e-10,6.083952678923749e-10,3.138872581275691e-10,8.641782894066267e-13
10,0.0010106531862910458,2.982938324089818e-05,2.4594793660828436e-07,1.1350312020253757e-06,1.7854702224646377e-06,4.6007528826600353e-07,1.3996778957616016e-10,3.7358020124579986e-13,3.470994590474745e-10,6.842512173784886e-13,1.456691240943419e-10,5.409888414345698e-10,5.432050199013611e-10,3.456452673329078e-10,3.5278507251780904e-13
11,0.0010124490205355283,3.282027228513291e-05,1.0835079235517219e-07,1.0792176436074676e-06,1.1332685110510077e-06,4.378987180131552e-07,1.3309785249997214e-10,4.760455323682228e-13,3.2438489008678726e-10,5.563876334321963e-13,1.4014476328356866e-10,3.4762240981527177e-10,3.447853157716358e-10,3.2839712164891917e-10,3.7168935084092965e-13
12,0.0009989736794702357,3.2461872055271656e-05,1.2741184057869127e-07,1.1524767337953194e-06,7.021848837839248e-07,4.212809102771612e-07,1.2778379680449202e-10,1.4094560447950351e-12,3.541460831994592e-10,7.795632882211147e-13,1.4478970426699134e-10,2.0464664855598305e-10,2.1331321913839118e-10,3.491802729811035e-10,1.5092742602002589e-12
13,0.0009424010149157012,3.334213601893536e-05,1.1182722301495199e-07,9.869062707962539e-07,5.608453901032547e-07,4.934257391308323e-07,1.499897878901949e-10,4.1642072252573464e-14,3.0388443277561667e-10,3.466563004239807e-13,1.548749724075367e-10,1.732377607259908e-10,1.705905431401217e-10,3.001163985188281e-10,3.2039932851450604e-13
14,0.0009381792405938361,3.453577639185517e-05,7.919759304949596e-08,1.1921303248802363e-06,9.97227861121966e-07,5.504060690278774e-07,1.6721938147560827e-10,1.6619280110431398e-13,3.704912637263489e-10,7.363243262555958e-13,1.7720665993682293e-10,3.044792108572198e-10,3.03120214369999e-10,3.62358785160682e-10,6.573211272914476e-13
